pair,trader,trade_type,link,screen_num,title,trade_action,sl,tp,status,ai_pair,entry_price,sl_price,tp_price,filename
XAUUSD,Dee,opened,https://youtu.be/p5pgFuEAsx0?t=4975,1,LIVE__London_Open_with_Deeyana_(2_6_25),sell,False,False,loss,,,,,
XAUUSD,Dee,closed,https://youtu.be/p5pgFuEAsx0?t=4990,1,LIVE__London_Open_with_Deeyana_(2_6_25),unknown,False,False,loss,,,,,
US100,Dakota,opened,https://youtu.be/jcTarHTxadQ?t=5,1,LIVE__Slow_Markets_with_Coach_Dakota_(6_15_25),sell,True,False,profit,,,,,
US100,Dakota,closed,https://youtu.be/jcTarHTxadQ?t=350,1,LIVE__Slow_Markets_with_Coach_Dakota_(6_15_25),unknown,False,False,loss,,,,,
US100,Dakota,opened,https://youtu.be/jcTarHTxadQ?t=1025,1,LIVE__Slow_Markets_with_Coach_Dakota_(6_15_25),sell,True,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=15,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,loss,,,,,
US100,Dee,opened,https://youtu.be/2iI-v94JbUE?t=1195,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=2860,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=2875,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),sell,True,False,loss,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=2890,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=2925,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),sell,True,False,loss,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=2940,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=3005,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),sell,True,False,loss,,,,,
US500,Dee,update_tp,https://youtu.be/2iI-v94JbUE?t=3020,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),sell,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=3035,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=3335,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),sell,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=3950,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=3960,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=3975,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=3980,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=3995,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4000,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4065,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4070,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4275,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4280,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,loss,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4390,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4400,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4430,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4445,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4460,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4465,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4480,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4490,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4545,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4555,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4655,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4660,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4675,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4680,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4785,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
US500,Dee,opened,https://youtu.be/2iI-v94JbUE?t=4795,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),buy,True,True,profit,,,,,
US500,Dee,closed,https://youtu.be/2iI-v94JbUE?t=4835,1,LIVE__Euro_Trade_with_Deeyana_(7_16_25),unknown,False,False,loss,,,,,
